transactionId,productId,transactionAmount,transactionDatetime
1,10,1465.4906509126913,2018-01-01 10:14:00
2,30,1893.2413346675664,2018-01-01 10:15:00
3,30,3792.217460800339,2018-01-01 10:10:00
4,30,3953.3809408755806,2018-01-01 10:11:00
5,10,3560.870750344224,2018-01-01 10:11:00
6,10,3469.975035454428,2018-01-01 10:10:00
7,30,2191.548093657694,2018-01-01 10:13:00
8,10,129.9161144408711,2018-01-01 10:11:00
9,10,4477.007292915261,2018-01-01 10:12:00
10,10,3759.721511156977,2018-01-01 10:10:00
11,10,4112.56240799959,2018-01-01 10:12:00
12,30,4957.081768078946,2018-01-01 10:14:00
13,30,533.7837333901668,2018-01-01 10:13:00
14,10,2605.506977446269,2018-01-01 10:15:00
15,20,4357.96226994902,2018-01-01 10:14:00
16,30,3541.9808445549597,2018-01-01 10:13:00
17,10,3519.317269285112,2018-01-01 10:13:00
18,20,298.71018172357014,2018-01-01 10:14:00
19,20,3107.462569573637,2018-01-01 10:11:00
20,20,4708.775372765106,2018-01-01 10:10:00
21,30,2453.6525283344054,2018-01-01 10:15:00
22,30,502.6230685574865,2018-01-01 10:13:00
23,10,2610.8974574214653,2018-01-01 10:11:00
24,20,2451.927724111873,2018-01-01 10:10:00
25,20,4700.71359922716,2018-01-01 10:13:00
26,10,121.71130936608508,2018-01-01 10:12:00
27,10,3292.9417630099074,2018-01-01 10:12:00
28,20,1577.7675973932965,2018-01-01 10:10:00
29,10,4016.008603877075,2018-01-01 10:13:00
30,30,4559.170717538575,2018-01-01 10:14:00
31,20,914.4577727472168,2018-01-01 10:15:00
32,20,2161.1005417943375,2018-01-01 10:11:00
33,20,3121.8176780888657,2018-01-01 10:11:00
34,10,4432.852496398768,2018-01-01 10:14:00
35,10,1508.4623821784144,2018-01-01 10:15:00
36,20,1305.2974528645796,2018-01-01 10:12:00
37,20,1767.5722875846325,2018-01-01 10:14:00
38,10,1815.891940578755,2018-01-01 10:12:00
39,10,1630.8708229943798,2018-01-01 10:12:00
40,30,4037.6296273127764,2018-01-01 10:10:00
41,10,828.5876148348698,2018-01-01 10:13:00
42,30,1131.716210316554,2018-01-01 10:11:00
43,30,3192.3159082624124,2018-01-01 10:14:00
44,30,4126.590780121264,2018-01-01 10:10:00
45,10,1341.0044516974085,2018-01-01 10:10:00
46,20,180.3690527625588,2018-01-01 10:13:00
47,20,2172.00365253903,2018-01-01 10:10:00
48,30,4961.842009008531,2018-01-01 10:13:00
49,20,2660.734579501687,2018-01-01 10:14:00
50,30,1382.5679936563602,2018-01-01 10:15:00
51,30,2494.3355729603395,2018-01-01 10:14:00
52,20,1444.309462649166,2018-01-01 10:13:00
53,20,1760.061698650424,2018-01-01 10:13:00
54,10,2902.412420214852,2018-01-01 10:11:00
55,10,3184.884920434068,2018-01-01 10:13:00
56,30,2314.9372430783037,2018-01-01 10:14:00
57,10,1986.131690446763,2018-01-01 10:15:00
58,10,3687.790735980971,2018-01-01 10:14:00
59,30,3499.4433758754335,2018-01-01 10:14:00
60,30,678.7255960672754,2018-01-01 10:12:00
61,10,2212.851222566692,2018-01-01 10:11:00
62,10,1710.7341594207908,2018-01-01 10:13:00
63,20,593.5787960332517,2018-01-01 10:12:00
64,30,2185.409324380941,2018-01-01 10:13:00
65,10,2010.7249215571953,2018-01-01 10:15:00
66,10,2067.3734510802688,2018-01-01 10:15:00
67,30,1355.8270562725713,2018-01-01 10:10:00
68,30,1668.6449362255573,2018-01-01 10:12:00
69,30,2896.1785810795786,2018-01-01 10:13:00
70,20,4878.818369599882,2018-01-01 10:11:00
71,10,4214.182365700798,2018-01-01 10:14:00
72,30,150.55496242221446,2018-01-01 10:10:00
73,20,1533.21293446685,2018-01-01 10:11:00
74,20,4217.4589153196175,2018-01-01 10:12:00
75,20,4706.871945839697,2018-01-01 10:15:00
76,10,4550.494611245911,2018-01-01 10:12:00
77,10,4711.82048172604,2018-01-01 10:10:00
78,10,500.9100608988837,2018-01-01 10:12:00
79,10,4849.093631619749,2018-01-01 10:11:00
80,10,3141.0121202497444,2018-01-01 10:10:00
81,30,1665.1754552595355,2018-01-01 10:11:00
82,30,3661.723141088659,2018-01-01 10:11:00
83,30,1356.4456131448571,2018-01-01 10:11:00
84,10,4464.749088597922,2018-01-01 10:15:00
85,30,3158.069320125648,2018-01-01 10:13:00
86,10,709.9145082990395,2018-01-01 10:11:00
87,30,205.40598287422685,2018-01-01 10:15:00
88,10,1911.183722974354,2018-01-01 10:11:00
89,30,3120.527196327623,2018-01-01 10:15:00
90,30,1395.514385497272,2018-01-01 10:14:00
91,20,1470.3289406159597,2018-01-01 10:14:00
92,30,2411.173034354294,2018-01-01 10:15:00
93,20,2011.472609731663,2018-01-01 10:12:00
94,30,2391.3849689495637,2018-01-01 10:10:00
95,30,254.10437198086044,2018-01-01 10:15:00
96,20,4582.788191829944,2018-01-01 10:15:00
97,30,172.86906517910296,2018-01-01 10:15:00
98,10,3769.316972361628,2018-01-01 10:14:00
99,10,4668.801003497383,2018-01-01 10:12:00
100,20,2043.5780778753033,2018-01-01 10:10:00
